,cnv_correlation,facets_cnv_purity_adjusted_correlation,rna_correlation,protein_correlation
L12a_L20b,0.676024,0.809091317,0.909256,0.0138591
L12a_L3a,0.955973,0.944538655,0.980103,0.692601
L12a_L5a,0.729935,0.831593239,0.931055,0.142175
L12a_Li1a,0.769552,0.792452139,0.879694,-0.180045
L12a_Li3c,0.76548,0.695593814,0.844817,-0.0954247
L20b_L3a,0.692825,0.791737305,0.919578,0.0769413
L20b_L5a,0.923254,0.964065414,0.986116,0.53871
L20b_Li1a,0.756533,0.824381972,0.908643,0.118441
L20b_Li3c,0.734969,0.772056266,0.874406,0.051217
L3a_L5a,0.748844,0.838645874,0.939116,0.128409
L3a_Li1a,0.770534,0.787556823,0.896244,-0.147015
L3a_Li3c,0.755332,0.691721801,0.853359,-0.18977
L5a_Li1a,0.770121,0.805600881,0.906648,0.0163627
L5a_Li3c,0.730414,0.757034483,0.867426,-0.0810794
Li1a_Li3c,0.892164,0.879760735,0.981605,0.398888
