,cnv_correlation,facets_cnv_purity_adjusted_correlation,rna_correlation,protein_correlation
L7a_L7c,0.891255,0.960698987,0.987732,0.619688
L7a_L8b,0.894294,0.986440129,0.974979,0.88664
L7a_L8d,0.886978,0.961608195,0.977028,0.660956
L7a_Li3a,0.825265,0.767286914,0.760069,-0.117425
L7c_L8b,0.912752,0.957260041,0.974091,0.703001
L7c_L8d,0.916829,0.993576519,0.982106,0.512685
L7c_Li3a,0.872875,0.861213327,0.761341,-0.19326
L8b_L8d,0.933072,0.955768904,0.989895,0.722879
Li2c_L7a,0.768727,0.784987154,0.737855,0.635053
Li2c_L7c,0.757183,0.883236227,0.735789,0.501898
Li2c_L8b,0.793582,0.771014956,0.746839,0.6375
Li2c_L8d,0.811875,0.876900542,0.758259,0.464487
Li2c_Li3a,0.801858,0.928326622,0.991591,-0.0105162
Li2c_Li4a,0.800616,0.800349996,0.976834,-0.0230651
Li2c_Li5a,0.810151,0.927907375,0.769738,0.68439
Li3a_L8b,0.850818,0.760163335,0.765765,-0.109612
Li3a_L8d,0.865159,0.860215166,0.776859,0.0184284
Li4a_L7a,0.87822,0.845396283,0.813357,-0.12368
Li4a_L7c,0.846836,0.870759342,0.803909,-0.176225
Li4a_L8b,0.824388,0.847554018,0.805276,-0.12019
Li4a_L8d,0.812457,0.874030209,0.81674,-0.0120567
Li4a_Li3a,0.87543,0.793006776,0.982054,0.929172
Li5a_L7a,0.845893,0.86107004,0.963386,0.563889
Li5a_L7c,0.90035,0.930793102,0.966429,0.415641
Li5a_L8b,0.873261,0.860300814,0.95824,0.549846
Li5a_L8d,0.884437,0.931665773,0.959653,0.405765
Li5a_Li3a,0.919952,0.9007446,0.797009,0.111842
Li5a_Li4a,0.868857,0.879640911,0.832824,0.11634
