sample_id	cluster_id	size	mean	std
RA006_Li1a	0	106	0.993552101	0.007664416
RA006_Li1a	1	24	0.228838636	0.013243045
RA006_Li1a	2	38	0.104816447	0.008488957
RA006_Li1a	3	4	0.192693588	0.036022538
RA006_Li1a	4	1	0.537457218	0.091952438
RA006_Li1a	5	1	0.409929277	0.12461602
RA006_Li1a	6	1	0.434230825	0.149351931
RA006_Li1a	7	1	0.233580311	0.099801151
RA006_Li1a	8	1	0.639104708	0.094920623
RA006_Li1a	9	1	0.200121176	0.086617627
RA006_Li1a	10	1	0.225437551	0.081317864
RA006_Li1a	11	1	0.470210665	0.249714613
RA006_Li1a	12	1	0.617805274	0.192299547
RA006_Li1a	13	3	0.444674986	0.038606972
RA006_Li1a	14	1	0.326472394	0.124304678
RA006_Li1a	15	1	0.448341024	0.165551931
RA006_Li1a	16	1	0.309303915	0.115001739
RA006_Li1a	17	1	0.282653709	0.101202445
RA006_Li1a	18	1	0.254691777	0.105379809
RA006_Li1a	19	3	0.33597496	0.044847421
RA006_Li1a	20	1	0.414919455	0.204039533
RA006_Li1a	21	1	0.377051862	0.110292536
RA006_Li1a	22	1	0.293098774	0.162792096
RA006_Li1a	23	1	0.305970718	0.116821667
RA006_Li1a	24	1	0.204116484	0.099559206
RA006_Li1a	25	1	0.411500428	0.230725801
RA006_Li1a	26	1	0.619923619	0.053164888
RA006_Li1a	27	1	0.209417431	0.086261977
RA006_Li1a	28	1	0.238563548	0.101740753
RA006_Li1a	29	1	0.630600915	0.192417379
RA006_Li1a	30	1	0.385154897	0.111638741
RA006_Li1a	31	1	0.212952414	0.087512513
RA006_Li1a	32	1	0.360041949	0.157705052
RA006_Li1a	33	1	0.526768206	0.165146729
RA006_Li1a	34	1	0.225833413	0.080954766
RA006_Li1a	35	1	0.317617489	0.101109583
RA006_Li1a	36	1	0.325974772	0.130615375
RA006_Li1a	37	1	0.229760695	0.082379609
RA006_Li1a	38	1	0.493798155	0.132294925
