sample_id	cluster_id	size	mean	std
RA004_L1b	0	212	0.98700095	0.010893568
RA004_L1b	1	1	0.431165279	0.183497133
RA004_L1b	2	1	0.473039379	0.209125521
RA004_L1b	3	1	0.441202664	0.215593387
RA004_L1b	4	1	0.510253139	0.228597172
RA004_L1b	5	10	0.185208036	0.036376169
RA004_L1b	6	1	0.316275511	0.192352681
RA004_L1b	7	1	0.249267547	0.175685008
RA004_L1b	8	1	0.383714474	0.141511772
RA004_L1b	9	1	0.350645156	0.184731956
RA004_L1b	10	1	0.566174591	0.200332688
RA004_L1b	11	1	0.347650666	0.177661247
RA004_L1b	12	1	0.575103798	0.195893524
RA004_L1b	13	1	0.612780297	0.194005666
RA004_L1b	14	1	0.437631519	0.160912589
RA004_L1b	15	1	0.36701954	0.179906575
RA004_L1b	16	1	0.494622161	0.174347234
RA004_L1b	17	1	0.42027676	0.125885071
RA004_L1b	18	1	0.327498877	0.175387278
RA004_L1b	19	1	0.530003482	0.221421213
RA004_L1b	20	1	0.360396439	0.210332223
RA004_L1b	21	1	0.305284445	0.165331017
RA004_L1b	22	1	0.307827651	0.165691481
RA004_L1b	23	1	0.438199565	0.245715859
