sample_id	cluster_id	size	mean	std
RA006_L20b	0	58	0.992438902	0.009176865
RA006_L20b	1	28	0.181879605	0.012809805
RA006_L20b	2	1	0.474549067	0.187883037
RA006_L20b	3	1	0.339759002	0.107679571
RA006_L20b	4	1	0.653019702	0.159094721
RA006_L20b	5	1	0.364166825	0.074765468
RA006_L20b	6	1	0.647202904	0.205914499
RA006_L20b	7	1	0.640128332	0.220756108
RA006_L20b	8	1	0.583425106	0.152821439
RA006_L20b	9	1	0.454281662	0.151689041
RA006_L20b	10	1	0.713698411	0.114969301
RA006_L20b	11	1	0.332932022	0.185302264
RA006_L20b	12	1	0.325562552	0.081533803
RA006_L20b	13	1	0.343828117	0.094479988
RA006_L20b	14	17	0.572624232	0.024357834
RA006_L20b	15	1	0.478538611	0.12151937
RA006_L20b	16	1	0.627470357	0.167491535
RA006_L20b	17	1	0.500571798	0.164230756
RA006_L20b	18	1	0.565758174	0.21873692
RA006_L20b	19	1	0.770673029	0.095826173
RA006_L20b	20	1	0.492462939	0.136588225
RA006_L20b	21	1	0.315223022	0.105604188
RA006_L20b	22	1	0.417157764	0.102798031
RA006_L20b	23	1	0.470917878	0.159886451
RA006_L20b	24	1	0.713167347	0.119522171
RA006_L20b	25	1	0.350886801	0.119937952
RA006_L20b	26	1	0.505608364	0.172396191
RA006_L20b	27	1	0.358842814	0.118037476
RA006_L20b	28	1	0.526523777	0.197415528
RA006_L20b	29	1	0.296405716	0.102112259
RA006_L20b	30	1	0.624367323	0.193193702
RA006_L20b	31	1	0.70056196	0.199302346
RA006_L20b	32	1	0.697394092	0.093738958
RA006_L20b	33	1	0.562297448	0.193069477
RA006_L20b	34	1	0.56265693	0.180477907
RA006_L20b	35	1	0.430165073	0.114440542
