sample_id	cluster_id	size	mean	std
RA006_L12a	0	19	0.148455675	0.013517529
RA006_L12a	1	76	0.996431261	0.005837819
RA006_L12a	2	1	0.595057191	0.26398545
RA006_L12a	3	1	0.644531864	0.133174816
RA006_L12a	4	1	0.641662854	0.184423081
RA006_L12a	5	1	0.816680461	0.078672879
RA006_L12a	6	1	0.553562995	0.254045982
RA006_L12a	7	1	0.421387821	0.156951825
RA006_L12a	8	1	0.649867404	0.208785775
RA006_L12a	9	1	0.611875487	0.266649466
RA006_L12a	10	1	0.704816986	0.112022576
RA006_L12a	11	1	0.764949547	0.100011427
RA006_L12a	12	1	0.506681328	0.235071249
RA006_L12a	13	1	0.722043618	0.126371187
RA006_L12a	14	1	0.638267936	0.190062232
RA006_L12a	15	1	0.4747868	0.194332079
RA006_L12a	16	2	0.716446787	0.055938594
RA006_L12a	17	1	0.766442974	0.091898608
